brand,model,discipline,price_eur,frame_material,tire_clearance_mm,groupset,weight_kg,url,image_url,description
Canyon,Grizl CF 6,gravel,,carbon,,Sram Apex,9.98,https://www.canyon.com/fi-fi/gravelpyoeraet/adventure/grizl/og/grizl-cf-6/4141.html?dwvar_4141_pv_rahmenfarbe=R126_P01,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1750255863/2026_FULL_grizl_cf-6_4141_R126_P01_boqvk2","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Vahva, loputtoman mukautuva hiilikuiturunko on valmis kaikenlaisiin seikkailuihin</li> <li>Luotettava SRAM Apex 1x -voimansiirto</li> <li>54 mm:n mitattu rengastila</li> <li>Tubeless-yhteensopivat Schwalbe G-One RX -renkaat</li> <li>Etu- ja takatelineiden kiinnityspisteet</li> </ul>"
Canyon,Grail CF 7,gravel,,carbon,,Shimano Grx,9.26,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf/grail-cf-7/4149.html?dwvar_4149_pv_rahmenfarbe=R119_P05,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1746608737/2026_FULL_grail_cf-sl-7_4149_R119_P04_hoppzj","Canyon - Nopea, tasapainoinen, luotettava. Grail CF 7 on valmis kisaamaan vakaan ajotuntuman, vaivattoman hallittavuuden, luotettavan Shimanon vaihteiston ja kestävien DT Swiss -alumiinikiekkojen tuella."
Canyon,Grail CF 8 1by,gravel,,carbon,,Shimano Grx,8.88,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf/grail-cf-8-1by/4148.html?dwvar_4148_pv_rahmenfarbe=R119_P04,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1747035785/2026_FULL_grail_cf-sl-8-1by_4148_R119_P04_oqoppk","Canyon - Loivempi, nopeampi, parempi. Matkalippusi palkintokorokkeelle – Grail CF 8 -pyörässä yhdistyvät Grail CF -malliston nopeus kaikilla alustoilla ja yksinkertainen ja tehokas yhteen eturattaaseen perustuva GRX-vaihteisto."
Canyon,Grail CF SL 7 AXS,gravel,,carbon,,Sram Rival,8.82,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf/grail-cf-sl-7-axs/3576.html?dwvar_3576_pv_rahmenfarbe=R119_P03,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1733933315/C3354C48-5061-4EBA-9B84D02F7A086CA0",Canyon - Grailin vaihtelevilla alustoilla vertaansa vailla oleva ajodynamiikka ja SRAMin loistava langaton 12-vaihteinen voimansiirto. Nosta gravelkisaamisesi seuraavalle tasolle Grail CF SL -malliston lippulaivamallilla.
Canyon,Grail CF SL 7 AERO,road,,carbon,,Sram Rival,8.46,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf/grail-cf-sl-7-aero/4150.html?dwvar_4150_pv_rahmenfarbe=R119_P04,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1748286996/2026_FULL_grail_cf-sl-7-aero_4150_R119_P04_fzkhj4","Canyon - Vahva, virtaviivainen, nopea. Tämä aerodynaamisilla hiilikuitukiekoilla, tarkalla sähköisellä vaihtamisella ja integroidulla hiilikuituohjaamolla varustettu kilpapyörä on uskomattoman nopea kaikilla alustoilla. Nosta gravelajamisesi seuraavalle tasolle Grail CF SL -malliston lippulaivamallilla."
Canyon,Grizl CF 7,gravel,,carbon,,Shimano Grx,10.04,https://www.canyon.com/fi-fi/gravelpyoeraet/adventure/grizl/og/grizl-cf-7/4167.html?dwvar_4167_pv_rahmenfarbe=R126_P01,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1750252688/2026_FULL_grizl_cf-7_4167_R126_P01_ti4kcf","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Vahva, loputtoman mukautuva hiilikuiturunko on valmis kaikenlaisiin seikkailuihin</li> <li>Uusin Shimano 1x GRX -voimansiirto</li> <li>Pomminkestävät DT Swiss gravel -kiekot</li> <li>54 mm:n mitattu rengastila</li> <li>Ohjaustanko ja -kannatin integroiduilla vaijereilla</li> </ul>"
Canyon,Grizl CF 8 w/ RIFT,gravel,3194.95,carbon,,Sram Rival,10.5,https://www.canyon.com/fi-fi/gravelpyoeraet/adventure/grizl/og/grizl-cf-8-w%2F-rift/4145.html?dwvar_4145_pv_rahmenfarbe=R126_P02,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1750844911/2026_FULL_grizl_cf-8-rough_4145_R126_P02_su7cif","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Vahva, loputtoman mukautuva hiilikuiturunko on valmis kaikenlaisiin seikkailuihin</li> <li>DT Swiss F132 ONE gravel-joustohaarukka</li> <li>Etälukitus</li> <li>SRAM Rival XPLR – luotettava langaton 1x-vaihteisto – yksinkertaista ja varmaa</li> <li>DT Swiss gravel -kiekot</li> </ul>"
Canyon,Grizl CF 8 ESC w/ ECLIPS,gravel,,carbon,,Shimano Grx,10.0,https://www.canyon.com/fi-fi/gravelpyoeraet/adventure/grizl/escape/grizl-cf-8-esc-w%2F-eclips/4144.html?dwvar_4144_pv_rahmenfarbe=R126_P03,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1750252610/2026_FULL_grizl_cf-8-long-escp_4144_R126_P03_ggiwyo","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Vahva, loputtoman mukautuva hiilikuiturunko on valmis kaikenlaisiin seikkailuihin</li> <li>Canyon ECLIPS -teknologia – SON-dynamo, Lupine-valot, Canyon BlackBox</li> <li>Monipuolinen Shimano GRX mullet -voimansiirto laajalla välitysalueella</li> <li>Full Mounty -ohjaamo</li> <li>Korkealaatuiset DT Swiss gravel -kiekot</li> </ul>"
Canyon,Grizl CF 8 Di2,gravel,,carbon,,Shimano Grx,9.16,https://www.canyon.com/fi-fi/gravelpyoeraet/adventure/grizl/og/grizl-cf-8-di2/4143.html?dwvar_4143_pv_rahmenfarbe=R126_P01,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1750665929/2026_FULL_grizl_cf-8-di2_4143_R126_P01_pfbtqd","Canyon - <ul class=""simpleBulletList simpleBulletList--noItemSpacing""> <li>Vahva, loputtoman mukautuva hiilikuiturunko on valmis kaikenlaisiin seikkailuihin</li> <li>Täysin uudet Canyon-hiilikuitukiekot graveliin</li> <li>GRX Di2 -sähkövaihteisto</li> <li>54 mm:n mitattu rengastila</li> <li>Etu- ja takatelineiden kiinnityspisteet</li> </ul>"
Canyon,Grail CF SLX 8 Di2,gravel,,carbon,,Shimano Grx,8.8,https://www.canyon.com/fi-fi/gravelpyoeraet/race/grail/cf-slx/grail-cf-slx-8-di2/4155.html?dwvar_4155_pv_rahmenfarbe=R120_P05,"https://dma.canyon.com/image/upload/t_web-p5/w_930,h_487,c_fit/f_auto/q_auto/v1747293237/2026_FULL_grail_cf-slx-8-di2_4155_R120_P05_r7clfk","Canyon - Tämä Grail CF SLX -malliston luokkansa johtavan nopeuden ja keveyden, Shimanon uusimman langattoman GRX Di2 -vaihteiston ja DT Swissin uuden sukupolven aerokiekot yhdistävä pyörä on valmis menestymään maailman nopeimmissa gravelkisoissa."
